1	1	1	1	1	1	1
2	2	2	2	1	1	0
3	3	3	3	1	1	0
4	4	4	4	2	2	0
5	5	5	5	2	2	0
6	6	6	6	2	1	0
7	7	7	7	2	1	0
8	8	8	8	2	1	0
9	9	9	9	2	1	0
10	10	10	10	2	1	0
11	11	11	11	2	1	0
12	12	12	12	2	1	0
13	13	13	13	2	1	0
14	14	14	14	2	1	0
15	15	15	15	3	2	1
16	16	16	16	3	2	1
17	17	17	17	4	2	0
18	18	18	18	4	2	0
19	19	19	19	5	2	0
20	20	20	20	5	2	0
21	21	21	21	5	2	0
22	22	22	22	5	2	0
23	23	23	23	5	2	0
24	24	24	24	5	2	0
25	25	25	25	5	2	0
26	26	26	26	5	2	0
27	27	27	27	5	2	0
28	28	28	28	5	2	0
29	29	29	29	6	1	1
30	30	30	30	6	1	0
31	31	31	31	6	1	0
32	32	32	32	6	1	0
33	33	33	33	6	1	1
34	34	34	34	6	1	1
35	35	35	35	6	1	1
36	36	36	36	6	1	0
37	37	37	37	6	1	0
38	38	38	38	6	1	0
39	39	39	39	6	1	0
40	40	40	40	6	1	0
41	41	41	41	6	1	0
42	42	42	42	6	1	0
43	43	43	43	7	2	1
44	44	44	44	7	2	0
45	45	45	45	7	2	0
46	46	46	46	7	2	0
47	47	47	47	7	2	0
48	48	48	48	8	2	0
49	49	49	49	8	2	1
50	50	50	50	8	2	1
51	51	51	51	8	2	1
52	52	52	52	8	2	1
53	53	53	53	8	2	1
54	54	54	54	8	2	1
55	55	55	55	8	2	1
56	56	56	56	8	2	1
57	57	57	57	9	2	0
58	58	58	58	9	2	1
59	59	59	59	9	2	1
60	60	60	60	9	2	1
61	61	61	61	9	2	1
62	62	62	62	9	2	1
63	63	63	63	9	2	1
64	64	64	64	9	2	1
65	65	65	65	9	2	1
66	66	66	66	10	2	1
67	67	67	67	11	2	1
68	68	68	68	12	2	1
69	69	69	69	13	2	0
70	70	70	70	14	2	0
71	71	71	71	10	2	1
72	72	72	72	11	2	1
73	73	73	73	12	2	1
74	74	74	74	13	2	0
75	75	75	75	14	2	0
76	76	76	76	15	2	1
77	77	77	77	16	2	1
78	78	78	78	17	2	1
79	79	79	79	15	2	1
80	80	80	80	16	2	1
81	81	81	81	17	2	1
82	82	82	82	15	2	0
83	83	83	83	16	2	0
84	84	84	84	17	2	1
85	85	85	85	15	2	0
86	86	86	86	16	2	0
87	87	87	87	17	2	1
88	88	88	88	15	2	1
89	89	89	89	16	2	1
90	90	90	90	17	2	1
91	91	91	91	15	2	0
92	92	92	92	16	2	0
93	93	93	93	17	2	0
94	94	94	94	15	2	0
95	95	95	95	16	2	0
96	96	96	96	17	2	1
97	97	97	97	17	2	0
98	98	98	98	17	2	0
99	99	99	99	17	2	0
100	100	100	100	17	2	0
101	101	101	101	17	2	0
102	102	102	102	17	2	1
103	103	103	103	17	2	0
104	104	104	104	17	2	0
105	105	105	105	17	2	0
106	106	106	106	17	2	1
107	107	107	107	17	2	1
108	108	108	108	17	2	1
109	109	109	109	17	1	0
110	110	110	110	17	1	0
111	111	111	111	17	1	0
